PROMOTORIA,UNIDADE,ENTRANCIA,RESOLUÇÃO
9ª PJ de Arapiraca,4ª DRP Arapiraca / Arapiraca-AL,3ª Entrância,CNMP Nº 279/2023 POLICIAL
9ª PJ de Arapiraca,52º Arapiraca / Arapiraca-AL,3ª Entrância,CNMP Nº 279/2023 POLICIAL
9ª PJ de Arapiraca,53º Arapiraca / Arapiraca-AL,3ª Entrância,CNMP Nº 279/2023 POLICIAL
9ª PJ de Arapiraca,54º Arapiraca / Arapiraca-AL,3ª Entrância,CNMP Nº 279/2023 POLICIAL
9ª PJ de Arapiraca,55º Arapiraca / Arapiraca-AL,3ª Entrância,CNMP Nº 279/2023 POLICIAL
9ª PJ de Arapiraca,62º DP Craíbas / Craíbas-AL,3ª Entrância,CNMP Nº 279/2023 POLICIAL
9ª PJ de Arapiraca,Acidentes de Trânsito de Arapiraca / Arapiraca-AL,3ª Entrância,CNMP Nº 279/2023 POLICIAL
9ª PJ de Arapiraca,Delegacia Especial da Criança e do Adolescente – Arapiraca,3ª Entrância,CNMP Nº 279/2023 POLICIAL
9ª PJ de Arapiraca,Delegacia Especializada de Defesa da Mulher – Arapiraca,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,1º Distrito Policial Metropolitano / Maceió-AL,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,2º Distrito da Capital / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,3º Distrito da Capital / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,4º Distrito da Capital,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,5º Distrito da Capital / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,6º Distrito da Capital / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,7º Distrito da Capital / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,8º Distrito da Capital / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,9º Distrito da Capital / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,10º Distrito da Capital / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,11º Distrito da Capital / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,21º Distrito da Capital / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,22º Distrito da Capital / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,25º Distrito da Capital / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,APOCAL / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Central de Flagrantes da Capital / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Corregedoria-Geral / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,DECCOTAP / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Delegacia de Acidentes de Trânsito / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Delegacia de Crimes Ambientais e Proteção Animal,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Delegacia de Crimes Contra a Criança / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Delegacia de Defesa da Mulher I / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Delegacia de Defesa da Mulher II / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Delegacia de Estelionatos,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Delegacia de Homicídios / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Delegacia de Menores / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Delegacia de Proteção ao Turista,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Delegacia de Roubo e Furto de Veículos / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Delegacia de Roubos / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Delegacia de Vulneráveis Yalorixá Tia Marcelina,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,DRN / Maceió,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Seção Antissequestro,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Seção de Capturas,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Seção de Combate ao Roubo de Cargas,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Seção de Crimes Cibernéticos,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Seção de Crimes contra Instituições Financeiras,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Seção Especializada no Combate à Corrupção,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Seção Especializada no Combate à Lavagem de Dinheiro,3ª Entrância,CNMP Nº 279/2023 POLICIAL
62ª PJ da Capital,Tático Integrado de Grupos de Resgate Especial - TIGRE,3ª Entrância,CNMP Nº 279/2023 POLICIAL
2ª PJ de Penedo,82º DP Penedo / Penedo-AL,3ª Entrância,CNMP Nº 279/2023 POLICIAL
2ª PJ de Atalaia,104° DP Atalaia / Atalaia-AL,2ª Entrância,CNMP Nº 279/2023 POLICIAL
PJ de Capela,103º DP Capela / Capela-AL,2ª Entrância,CNMP Nº 279/2023 POLICIAL
1ª PJ de Coruripe,89° DP Coruripe / Coruripe-AL,2ª Entrância,CNMP Nº 279/2023 POLICIAL
3ª PJ de Delmiro Gouveia,26º DP Delmiro Gouveia / Delmiro Gouveia-AL,2ª Entrância,CNMP Nº 279/2023 POLICIAL
PJ de Feira Grande,57° DP Lagoa da Canoa / Lagoa da Canoa-AL,2ª Entrância,CNMP Nº 279/2023 POLICIAL
PJ de Feira Grande,59º DP Feira Grande / Feira Grande-AL,2ª Entrância,CNMP Nº 279/2023 POLICIAL
PJ de Girau do Ponciano,56° DP Girau do Ponciano / Girau do Ponciano-AL,2ª Entrância,CNMP Nº 279/2023 POLICIAL
PJ de Maragogi,92° DP Maragogi / Maragogi-AL,2ª Entrância,CNMP Nº 279/2023 POLICIAL
1ª PJ de Marechal Deodoro,17º Distrito da Capital / Marechal Deodoro-AL,2ª Entrância,CNMP Nº 279/2023 POLICIAL
