PROMOTORIA,UNIDADE,ID Resolução
9ª PJ de Arapiraca,4ª DRP Arapiraca / Arapiraca-AL,2
9ª PJ de Arapiraca,52º Arapiraca / Arapiraca-AL,2
9ª PJ de Arapiraca,53º Arapiraca / Arapiraca-AL,2
9ª PJ de Arapiraca,54º Arapiraca / Arapiraca-AL,2
9ª PJ de Arapiraca,55º Arapiraca / Arapiraca-AL,2
9ª PJ de Arapiraca,62º DP Craíbas / Craíbas-AL,2
9ª PJ de Arapiraca,Acidentes de Trânsito de Arapiraca / Arapiraca-AL,2
9ª PJ de Arapiraca,Delegacia Especial da Criança e do Adolescente – Arapiraca,2
9ª PJ de Arapiraca,Delegacia Especializada de Defesa da Mulher – Arapiraca,2
62ª PJ da Capital,1º Distrito Policial Metropolitano / Maceió-AL,2
62ª PJ da Capital,2º Distrito da Capital / Maceió,2
62ª PJ da Capital,3º Distrito da Capital / Maceió,2
62ª PJ da Capital,4º Distrito da Capital,2
62ª PJ da Capital,5º Distrito da Capital / Maceió,2
62ª PJ da Capital,6º Distrito da Capital / Maceió,2
62ª PJ da Capital,7º Distrito da Capital / Maceió,2
62ª PJ da Capital,8º Distrito da Capital / Maceió,2
62ª PJ da Capital,9º Distrito da Capital / Maceió,2
62ª PJ da Capital,10º Distrito da Capital / Maceió,2
62ª PJ da Capital,11º Distrito da Capital / Maceió,2
62ª PJ da Capital,21º Distrito da Capital / Maceió,2
62ª PJ da Capital,22º Distrito da Capital / Maceió,2
62ª PJ da Capital,25º Distrito da Capital / Maceió,2
62ª PJ da Capital,APOCAL / Maceió,2
62ª PJ da Capital,Central de Flagrantes da Capital / Maceió,2
62ª PJ da Capital,Corregedoria-Geral / Maceió,2
62ª PJ da Capital,DECCOTAP / Maceió,2
62ª PJ da Capital,Delegacia de Acidentes de Trânsito / Maceió,2
62ª PJ da Capital,Delegacia de Crimes Ambientais e Proteção Animal,2
62ª PJ da Capital,Delegacia de Crimes Contra a Criança / Maceió,2
62ª PJ da Capital,Delegacia de Defesa da Mulher I / Maceió,2
62ª PJ da Capital,Delegacia de Defesa da Mulher II / Maceió,2
62ª PJ da Capital,Delegacia de Estelionatos,2
62ª PJ da Capital,Delegacia de Homicídios / Maceió,2
62ª PJ da Capital,Delegacia de Menores / Maceió,2
62ª PJ da Capital,Delegacia de Proteção ao Turista,2
62ª PJ da Capital,Delegacia de Roubo e Furto de Veículos / Maceió,2
62ª PJ da Capital,Delegacia de Roubos / Maceió,2
62ª PJ da Capital,Delegacia de Vulneráveis Yalorixá Tia Marcelina,2
62ª PJ da Capital,DRN / Maceió,2
62ª PJ da Capital,Seção Antissequestro,2
62ª PJ da Capital,Seção de Capturas,2
62ª PJ da Capital,Seção de Combate ao Roubo de Cargas,2
62ª PJ da Capital,Seção de Crimes Cibernéticos,2
62ª PJ da Capital,Seção de Crimes contra Instituições Financeiras,2
62ª PJ da Capital,Seção Especializada no Combate à Corrupção,2
62ª PJ da Capital,Seção Especializada no Combate à Lavagem de Dinheiro,2
62ª PJ da Capital,Tático Integrado de Grupos de Resgate Especial - TIGRE,2
2ª PJ de Penedo,82º DP Penedo / Penedo-AL,2
