nome_promotoria,entrancia,ID_promotoria
1ª PJ da Capital,3ª Entrância,2
2ª PJ da Capital,3ª Entrância,3
3ª PJ da Capital,3ª Entrância,4
4ª PJ da Capital,3ª Entrância,5
5ª PJ da Capital,3ª Entrância,6
6ª PJ da Capital,3ª Entrância,7
7ª PJ da Capital,3ª Entrância,8
8ª PJ da Capital,3ª Entrância,9
9ª PJ da Capital,3ª Entrância,10
10ª PJ da Capital,3ª Entrância,11
11ª PJ da Capital,3ª Entrância,12
12ª PJ da Capital,3ª Entrância,13
13ª PJ da Capital,3ª Entrância,14
14ª PJ da Capital,3ª Entrância,15
15ª PJ da Capital,3ª Entrância,16
16ª PJ da Capital,3ª Entrância,17
17ª PJ da Capital,3ª Entrância,18
18ª PJ da Capital,3ª Entrância,19
19ª PJ da Capital,3ª Entrância,20
20ª PJ da Capital,3ª Entrância,21
21ª PJ da Capital,3ª Entrância,22
22ª PJ da Capital,3ª Entrância,23
23ª PJ da Capital,3ª Entrância,24
24ª PJ da Capital,3ª Entrância,25
25ª PJ da Capital,3ª Entrância,26
26ª PJ da Capital,3ª Entrância,27
27ª PJ da Capital,3ª Entrância,28
28ª PJ da Capital,3ª Entrância,29
29ª PJ da Capital,3ª Entrância,30
30ª PJ da Capital,3ª Entrância,31
31ª PJ da Capital,3ª Entrância,32
32ª PJ da Capital,3ª Entrância,33
33ª PJ da Capital,3ª Entrância,34
34ª PJ da Capital,3ª Entrância,35
35ª PJ da Capital,3ª Entrância,36
36ª PJ da Capital,3ª Entrância,37
37ª PJ da Capital,3ª Entrância,38
38ª PJ da Capital,3ª Entrância,39
39ª PJ da Capital,3ª Entrância,40
40ª PJ da Capital,3ª Entrância,41
41ª PJ da Capital,3ª Entrância,42
42ª PJ da Capital,3ª Entrância,43
43ª PJ da Capital,3ª Entrância,44
44ª PJ da Capital,3ª Entrância,45
45ª PJ da Capital,3ª Entrância,46
46ª PJ da Capital,3ª Entrância,47
47ª PJ da Capital,3ª Entrância,48
48ª PJ da Capital,3ª Entrância,49
49ª PJ da Capital,3ª Entrância,50
50ª PJ da Capital,3ª Entrância,51
51ª PJ da Capital,3ª Entrância,52
52ª PJ da Capital,3ª Entrância,53
53ª PJ da Capital,3ª Entrância,54
54ª PJ da Capital,3ª Entrância,55
55ª PJ da Capital,3ª Entrância,56
56ª PJ da Capital,3ª Entrância,57
57ª PJ da Capital,3ª Entrância,58
