promotoria_id,resolucao_id,Unidade
78,2,4ª DRP Arapiraca / Arapiraca-AL
78,2,52º Arapiraca / Arapiraca-AL
78,2,53º Arapiraca / Arapiraca-AL
78,2,54º Arapiraca / Arapiraca-AL
78,2,55º Arapiraca / Arapiraca-AL
78,2,62º DP Craíbas / Craíbas-AL
78,2,Acidentes de Trânsito de Arapiraca / Arapiraca-AL
78,2,Delegacia Especial da Criança e do Adolescente – Arapiraca
78,2,Delegacia Especializada de Defesa da Mulher – Arapiraca
63,2,1º Distrito Policial Metropolitano / Maceió-AL
63,2,2º Distrito da Capital / Maceió
63,2,3º Distrito da Capital / Maceió
63,2,4º Distrito da Capital
63,2,5º Distrito da Capital / Maceió
63,2,6º Distrito da Capital / Maceió
63,2,7º Distrito da Capital / Maceió
63,2,8º Distrito da Capital / Maceió
63,2,9º Distrito da Capital / Maceió
63,2,10º Distrito da Capital / Maceió
63,2,11º Distrito da Capital / Maceió
63,2,21º Distrito da Capital / Maceió
63,2,22º Distrito da Capital / Maceió
63,2,25º Distrito da Capital / Maceió
63,2,APOCAL / Maceió
63,2,Central de Flagrantes da Capital / Maceió
63,2,Corregedoria-Geral / Maceió
63,2,DECCOTAP / Maceió
63,2,Delegacia de Acidentes de Trânsito / Maceió
63,2,Delegacia de Crimes Ambientais e Proteção Animal
63,2,Delegacia de Crimes Contra a Criança / Maceió
63,2,Delegacia de Defesa da Mulher I / Maceió
63,2,Delegacia de Defesa da Mulher II / Maceió
63,2,Delegacia de Estelionatos
63,2,Delegacia de Homicídios / Maceió
63,2,Delegacia de Menores / Maceió
63,2,Delegacia de Proteção ao Turista
63,2,Delegacia de Roubo e Furto de Veículos / Maceió
63,2,Delegacia de Roubos / Maceió
63,2,Delegacia de Vulneráveis Yalorixá Tia Marcelina
63,2,DRN / Maceió
63,2,Seção Antissequestro
63,2,Seção de Capturas
63,2,Seção de Combate ao Roubo de Cargas
63,2,Seção de Crimes Cibernéticos
63,2,Seção de Crimes contra Instituições Financeiras
63,2,Seção Especializada no Combate à Corrupção
63,2,Seção Especializada no Combate à Lavagem de Dinheiro
63,2,Tático Integrado de Grupos de Resgate Especial - TIGRE
81,2,82º DP Penedo / Penedo-AL
87,2,104° DP Atalaia / Atalaia-AL
88,2,103º DP Capela / Capela-AL
89,2,89° DP Coruripe / Coruripe-AL
92,2,26º DP Delmiro Gouveia / Delmiro Gouveia-AL
93,2,57° DP Lagoa da Canoa / Lagoa da Canoa-AL
93,2,59º DP Feira Grande / Feira Grande-AL
94,2,56° DP Girau do Ponciano / Girau do Ponciano-AL
95,2,92° DP Maragogi / Maragogi-AL
96,2,17º Distrito da Capital / Marechal Deodoro-AL
98,2,28° DP Mata Grande / Mata Grande-AL
150,2,28° DP Mata Grande / Mata Grande-AL
98,2,29° DP Inhapi / Inhapi-AL
150,2,29° DP Inhapi / Inhapi-AL
98,2,30° DP Canapi / Canapi-AL
150,2,30° DP Canapi / Canapi-AL
99,2,116° DP Murici / Murici-AL
105,2,64° DP Palmeira dos Índios / Palmeira dos Índios-AL
105,2,73° DP Estrela de Alagoas / Estrela de Alagoas-AL
106,2,48º Pão de Açúcar / Pão de Açúcar-AL
107,2,23º Distrito da Capital / Pilar-AL
109,2,112º DP Jacuípe / Jacuípe-AL
109,2,91º DP Porto Calvo / Porto Calvo-AL
114,2,12º Distrito da Capital / Rio Largo-AL
114,2,20° Distrito da Capital / Messias-AL
114,2,24º Distrito da Capital / Rio Largo-AL
119,2,34° DP Santana do Ipanema / Santana do Ipanema-AL
120,2,115° DP São José da Lage / São José da Laje-AL
120,2,118º DP Ibateguara / Ibateguara-AL
121,2,38° DP São José da Tapera / São José da Tapera-AL
122,2,93º DP São Luiz do Quitunde / São Luís do Quitunde-AL
128,2,18° Distrito da Capital / Barra de São Miguel-AL
128,2,74° DP São Miguel dos Campos / São Miguel dos Campos-AL
128,2,78° DP Roteiro / Roteiro-AL
128,2,81° DP Jequiá da Praia / Jequiá da Praia-AL
132,2,114° DP União dos Palmares / União dos Palmares-AL
132,2,119° DP Santana do Mundaú / Santana do Mundaú-AL
133,2,98º DP Viçosa / Viçosa-AL
133,2,99º DP Chã Preta / Chã Preta-AL
134,2,27ª DP Água Branca / Água Branca-AL
134,2,33° DP Pariconha / Pariconha-AL
135,2,77° DP Anadia / Anadia-AL
136,2,44ª DP Batalha / Batalha-AL
136,2,46° DP Jacaré dos Homens / Jacaré dos Homens-AL
137,2,76° DP Boca da Mata / Boca da Mata-AL
140,2,75° DP Campo Alegre / Campo Alegre-AL
138,2,65° DP Cacimbinhas / Cacimbinhas-AL
138,2,66° DP Minador do Negrão / Minador do Negrão-AL
138,2,37° DP Dois Riachos / Dois Riachos-AL
139,2,102° DP Cajueiro / Cajueiro-AL
141,2,113° DP Campestre / Campestre-AL
141,2,107° DP Novo Lino / Novo Lino-AL
141,2,108° DP Colônia Leopoldina / Colônia Leopoldina-AL
142,2,67° DP Igaci / Igaci-AL
143,2,84° DP Igreja Nova / Igreja Nova-AL
144,2,109° DP Flexeiras / Flexeiras-AL
144,2,110° DP Joaquim Gomes / Joaquim Gomes-AL
145,2,80° DP Junqueiro / Junqueiro-AL
146,2,60° DP Limoeiro de Anadia / Limoeiro de Anadia-AL
147,2,51° Major Izidoro / Major Izidoro-AL
148,2,40° DP Ouro Branco / Ouro Branco-AL
149,2,101° DP Maribondo / Maribondo-AL
151,2,90° DP Matriz do Camaragibe / Matriz de Camaragibe-AL
153,2,35º DP Olho d'Água das Flores / Olho d'Água das Flores-AL
155,2,13º Distrito da Capital / Paripueira-AL
155,2,19º Distrito da Capital / Barra de Santo Antônio-AL
156,2,94° DP Passo de Camaragibe / Passo de Camaragibe-AL
156,2,95° DP Porto de Pedras / Porto de Pedras-AL
156,2,97° DP São Miguel dos Milagres / São Miguel dos Milagres-AL
158,2,88° DP Piaçabuçu / Piaçabuçu-AL
159,2,32º DP Piranhas / Piranhas-AL
161,2,85° DP Porto Real do Colégio / Porto Real do Colégio-AL
162,2,106° DP Paulo Jacinto / Paulo Jacinto-AL
162,2,69° DP Quebrangulo / Quebrangulo-AL
165,2,14º Distrito da Capital / Satuba-AL
165,2,15° Distrito da Capital / Santa Luzia do Norte-AL
165,2,16° Distrito da Capital / Coqueiro Seco-AL
164,2,86° DP São Sebastião / São Sebastião-AL
167,2,72° DP Taquarana / Taquarana-AL
169,2,63º DP Traipu / Traipu-AL
168,2,79° DP Teotônio Vilela / Teotônio Vilela-AL
79,2,Instituto Médico Legal de Arapiraca
63,2,Instituto Médico Legal de Maceió / Maceió-AL
79,2,Instituto de Criminalística – Base do Agreste
63,2,Instituto de Criminalística
63,2,Instituto de Identificação
78,1,CPAI/II-Cmd. de Pol. de Área do Interior II
63,1,1º BPM-1° Btl de Policía Militar
63,1,4º BPM-4° Btl de Policia Militar
63,1,5º BPM-5º Btl de Polícia Militar
63,1,5ª Companhia de Policia Militar/Independente (5ª CPM/I)/Maceió-AL
63,1,12º Batalhão de Policia Militar (12º BPM)
63,1,13º Batalhão de Policia Militar (13º BPM)
63,1,APMSAM-Academia de Pol. Militar
63,1,BOPE - Btl de Op. Pol. Especiais
63,1,BPABtl de Pol. Ambiental
63,1,BPEscBtl de Pol. Escolar
63,1,BPRvBtl. de Pol. Rodoviário
63,1,BPTran Btl de Pol. de Trânsito
63,1,Centro Integrado de Assistência
63,1,CASIS/CHPM-Diretoria de Saúde
63,1,CFAP
63,1,CGDHPC-Centro de Ger. De Crises
63,1,Companhia de Policia Militar/Independente Companhia de Policiamento de Choque (CPChoque)
63,1,Companhia de Polícia Militar/Independente - Fazendária (CPM/I-Faz)/Maceió-AL
63,1,Companhia de Policia Militar/Independente Ronda de Ação Intensiva Ostensiva (CPM/I-RAIO) / Maceió-AL
63,1,Comando De Policiamento Metropolitano (CPMet)
63,1,CPM-Colégio da Policia Militar
63,1,CORREGEDORIA
63,1,D.E-Diretoria de Ensino
63,1,Patrulha Maria da Penha e Grupos Vulneráveis (PMPGV)/Maceió-AL
63,1,Batalhão de Policia Militar de Ronda Ostensiva Tática Motorizada - ROTAM
63,1,QCG-Quartel do Comando-Geral
63,1,RPMon-Reg. de Pol. Montada
81,1,11º BPM-11º Btl de Policia Militar
87,1,4ª CIA/INDEPENDENTE
92,1,9º BPM-9º Btl de Policia Militar
114,1,"8"" BPM-8º Btl de Policia Militar"
119,1,7º BPM-7º Btl de Policia Militar
119,1,CPAI/I-Cmd de Pol. de Área do Interior I
132,1,2º BPM-2° Btl de Policia Militar
105,1,10° BPM-10º BPM-10º Btl de Policia Militar
95,1,6º BPM-6° Btl de Polícia Militar
128,1,1ª CIA/INDEPENDENTE
96,1,5º CIA/INDEPENDENTE
123,1,CPAI/III-Cmd de Pol. de Área do Interior III
144,1,14° BPM-14° Btl de Policia Militar
155,1,3ª CIA/INDEPENDENTE
75,3,ARAPIRACA
75,3,CRAÍBAS
13,3,MACEIÓ
80,3,PENEDO
86,3,ATALAIA
124,3,BARRA DE SÃO MIGUEL
99,3,BRANQUINHA
94,3,CAMPO GRANDE
98,3,CANAPI
150,3,CANAPI
88,3,CAPELA
121,3,CARNEIROS
133,3,CHÃ PRETA
89,3,CORURIPE
91,3,DELMIRO GOUVEIA
100,3,ESTRELA DE ALAGOAS
93,3,FEIRA GRANDE
94,3,GIRAU DO PONCIANO
120,3,IBATEGUARA
98,3,INHAPI
150,3,INHAPI
109,3,JACUÍPE
109,3,JAPARATINGA
124,3,JEQUIÁ DA PRAIA
109,3,JUNDIÁ
93,3,LAGOA DA CANOA
95,3,MARAGOGI
133,3,MAR VERMELHO
96,3,MARECHAL DEODORO
98,3,MATA GRANDE
150,3,MATA GRANDE
99,3,MURICI
